# Table 2 Steady state results from continuous fermentations
# This data was hand copied from Heerden2013 https://doi.org/10.1186/1475-2859-12-80
D	cGLC	sGLC	sSUCC	sAC	sFORM	sMAL	DCW	MB	SUCC/AC	Ysp	Ysx	P
Dilution Rate	Glucose conc feed	Glucose conc effluent	Succinic Acid conc effluent	Acetic acid conc effluent	Formic acid conc effluent	Malic acid conc effluent	Dry cell weight	Mass_balance	Yield succinic acid, acetic acid	Succinic acid yield	Cell yield	Productivity
1/ hr	g/ L	g/ L	g/ L	g/ L	g/ L	g/ L	g/ L	unitless	mol/ mol	g/ g	g/ g	g/ L g
0.056	19.0	2.2	12.9	2.9	0.3	0	nan	nan	2.3	0.77	nan	0.72
0.146	19.4	12.4	5.0	1.4	0.6	0.38	0.88	1.0	1.9	0.71	0.125	0.73
0.146	19.4	12.7	4.7	1.4	0.5	0.0	0.87	1.0	1.7	0.7	0.13	0.68
0.093	19.0	6.6	9.2	2.5	0.6	0.34	1.97	1.05	1.9	0.74	0.159	0.85
0.093	19.0	6.4	9.3	2.5	0.6	0.0	1.62	1.02	1.9	0.74	0.128	0.87
0.187	19.8	15.8	2.5	0.8	0.3	0.51	0.68	1.0	1.5	0.62	0.171	0.46
0.037	19.0	0.0	14.0	3.9	0.5	0	nan	nan	1.8	0.74	nan	0.52
0.06	49.4	33.9	11.9	3.0	0.5	0.44	1.21	0.99	2.0	0.77	0.078	0.71
0.06	49.2	33.9	11.5	3.0	0.3	0.0	1.21	1.0	2.0	0.75	0.079	0.69
0.093	48.9	39.0	7.0	1.8	0.3	0.37	0.76	0.98	2.0	0.7	0.077	0.65
0.093	49.0	39.6	6.3	1.7	0.4	0.37	1.01	0.98	1.9	0.67	0.107	0.59
0.043	47.9	30.3	13.4	3.5	0.3	0.0	1.41	0.99	2.0	0.76	0.08	0.58
0.043	48.3	30.7	13.3	3.6	0.3	0.54	1.41	0.99	1.9	0.76	0.081	0.57
0.021	47.3	23.5	18.0	4.7	0.8	0.49	1.45	0.98	2.0	0.76	0.061	0.38
0.021	47.3	22.8	17.3	4.4	0.3	0.6	1.53	0.94	2.0	0.71	0.063	0.36
